Book Name,Author,Rating,Price,Description,Number of Reviews,Listening Minutes,Genres,Review_Group,Author_Book_Count,Author_Popularity_Group
"Night of Dangers: The Adventurers Guild Trilogy, Book 3",Zack Loran Clark,4.9,727.0,,49.0,,,Low,1,Low
Ladybird: Classic Nursery Rhymes Collection,Ladybird,3.9,410.0,,48.0,,,Low,6,High
Murder on the Orient Express (Dramatised),Agatha Christie,4.7,615.0,"An international cast of suspects, all passengers on the crowded train, are speeding through the snowy European landscape when a bizarre and terrible murder brings them to an abrupt halt. One of their glittering number lies dead in his cabin, stabbed a mysterious twelve times. There is no lack of clues for Poirot - but which clue is real and which is a clever plant?",47.0,138.0,"['Thriller & Suspense Dramatizations', 'Mystery Dramatizations', 'Amateur Sleuth Mysteries']",Low,12,Very High
The Swap,Shuma Raha,3.7,668.0,,47.0,,,Low,1,Low
"The Science of Effective Communication: Improve Your Social Skills and Small Talk, Develop Charisma and Learn How to Talk to Anyone: Positive Psychology Coaching Series, Volume 15",Ian Tuhovsky,3.9,501.0,,47.0,,,Low,1,Low
"The Essentials of Risk Management, Second Edition",Michel Crouhy,4.4,820.0,"Created for risk professionals and non-risk professionals alike, this easy-to-understand guide helps you meet the increasingly insistent demand to make sophisticated assessments of companies' risk exposure. It provides the latest methods for: ",49.0,1292.0,"['Insurance', 'Public Finance', 'Corporate Finance']",Low,1,Low
Strength in the Storm,Eknath Easwaran,4.8,163.0,"Find balance, peace, and even wisdom by learning to steady the mind. ",46.0,51.0,"['Stress Management', 'Mental Health', 'Meditation']",Low,9,High
The Antidote for Everything,Kimmery Martin,4.5,1005.0,"In this whip-smart and timely novel from acclaimed author Kimmery Martin, two doctors travel a surprising path when they must choose between treating their patients and keeping their jobs.",46.0,,,Low,1,Low
10 Essential Success Mantras from the Bhagavad Gita (Rupa Quick Reads),Vimla Patil,4.2,233.0,"For thousands of years, the Bhagavad Gita has inspired millions of saints, leaders, scientists, philosophers and ordinary people around the world. In this quick read, Vimla Patil draws valuable success mantras from the philosophical text that are sure to take your life to the next level. ",45.0,26.0,"['Hinduism', 'Forecasting & Strategic Planning', 'Leadership']",Low,1,Low
Healing Through Past-Life Regression...and Beyond,Mira Kelley,4.3,468.0,"In this remarkable audio program, Mira Kelley will guide you through a past-life regression that allows you to experience other lives you have lived, receive emotional and physical healing, discover your life’s purpose, understand your relationships, and receive guidance from your Higher Self. Along the way, Mira demonstrates the extraordinary skills she has shared with the likes of Dr. Wayne W. Dyer and Brian Weiss, M.D. (both of whom have featured her work in their own recent books). Mira also includes meditations, which will aid you in discovering how to restore the health and vitality of your body, awakening your beautiful essence, embracing the unconditional love that Source has for you, and recognizing that you truly deserve to express yourself to the fullest. The result is a powerful experience that will help you manifest your best life yet!",45.0,101.0,"['Earth Sciences Books', 'Family & Relationships', 'Personal Development & Self-Help']",Low,1,Low
The Story of World War II,Donald L. Miller,4.4,1338.0,"Drawing on previously unpublished eyewitness accounts, prizewinning historian Donald L. Miller has written what critics are calling one of the most powerful accounts of warfare ever published. Here are the horror and heroism of World War II in the words of the men who fought it, the journalists who covered it, and the civilians who were caught in its fury. Miller gives us an up-close, deeply personal view of a war that was more savagely fought - and whose outcome was in greater doubt - than one might imagine. This is the war that Americans on the home front would have read about had they had access to the previously censored testimony of the soldiers on which Miller builds his gripping narrative. ",45.0,1492.0,"['World War II History', 'World History', 'Military History (Books)']",Low,1,Low
The Deep Heart: Our Portal to Presence,John J. Prendergast PhD,4.7,586.0,,47.0,,,Low,1,Low
